GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TODO Plugin,rwv.test.test,HelloWorldBuilder.DescriptorImpl,32,7,4,0,10,4,6,2,4,2
TODO Plugin,rwv.test.test,HelloWorldBuilder,47,0,2,0,9,0,5,0,4,0
